id,company_id/id,codigo,parent_id/id,name,abreviatura
base_idu.hr_department_32,base.main_company,131,base_idu.hr_department_10,MAESTRIA EN TELECOMUNICACIONES MOVILES – VIRTUAL,MTMV
base_idu.hr_department_33,base.main_company,132,base_idu.hr_department_10,RED DE INVESTIGACIONES DE TECNOLOGIA AVANZADA RITA,RITA
base_idu.hr_department_34,base.main_company,133,base_idu.hr_department_10,UNIDAD DE INVESTIGACIONES FACULTAD DE INGENIERIA,UIFI
base_idu.hr_department_35,base.main_company,134,base_idu.hr_department_10,PROYECTO PLANESTIC-UD,PRPL
base_idu.hr_department_36,base.main_company,135,base_idu.hr_department_2,FACULTAD DE CIENCIAS Y EDUCACION,FACE
base_idu.hr_department_37,base.main_company,136,base_idu.hr_department_36,LICENCIATURA EN FISICA,LIFI
base_idu.hr_department_38,base.main_company,137,base_idu.hr_department_36,LICENCIATURA EN BIOLOGIA,LIBI
base_idu.hr_department_39,base.main_company,138,base_idu.hr_department_36,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES,LEBECS
base_idu.hr_department_40,base.main_company,139,base_idu.hr_department_36,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA,LEBEHLC
base_idu.hr_department_41,base.main_company,140,base_idu.hr_department_36,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN INGLES,LEBEI
base_idu.hr_department_42,base.main_company,141,base_idu.hr_department_36,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS,LEBEM
base_idu.hr_department_43,base.main_company,142,base_idu.hr_department_36,LICENCIATURA EN QUIMICA,LIQI
base_idu.hr_department_44,base.main_company,143,base_idu.hr_department_36,ESPECIALIZACION EN EDUCACION EN TECNOLOGIA,EETE
base_idu.hr_department_45,base.main_company,144,base_idu.hr_department_36,ESPECIALIZACION EN DESARROLLO HUMANO CON ENFASIS EN  PROCESOS AFECTIVOS Y CREATIVIDAD,EDHEPAC
base_idu.hr_department_46,base.main_company,145,base_idu.hr_department_36,ESPECIALIZACION EN EDUCACION MATEMATICA,ESEM
base_idu.hr_department_47,base.main_company,146,base_idu.hr_department_36,ESPECIALIZACION EN EDUCACION Y GESTION AMBIENTAL,ESEGA
base_idu.hr_department_48,base.main_company,147,base_idu.hr_department_36,"ESPECIALIZACION EN INFANCIA, CULTURA Y DESARROLLO",EICD
base_idu.hr_department_49,base.main_company,148,base_idu.hr_department_36,ESPECIALIZACION EN LENGUAJE Y PEDAGOGIA DE PROYECTOS,ELPP
base_idu.hr_department_50,base.main_company,149,base_idu.hr_department_36,ESPECIALIZACION EN PEDAGOGIA DE LA COMUNICACION Y MEDIOS INTERACTIVOS (NO SE OFERTA),EPCMI
base_idu.hr_department_51,base.main_company,150,base_idu.hr_department_36,ESPECIALIZACION EN GERENCIA DE PROYECTOS  EDUCATIVOS INSTITUCIONALES,EGPEI
base_idu.hr_department_52,base.main_company,151,base_idu.hr_department_36,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN EDUCACION ARTISTICA,LEBEEA
base_idu.hr_department_53,base.main_company,152,base_idu.hr_department_36,LICENCIATURA EN PEDAGOGIA INFANTIL,LIPI
base_idu.hr_department_54,base.main_company,153,base_idu.hr_department_36,MAESTRIA EN INVESTIGACION SOCIAL INTERDISCIPLINARIA,MISI
base_idu.hr_department_55,base.main_company,154,base_idu.hr_department_36,MAESTRIA EN LINGUISTICA APLICADA A LA ENSENANZA DEL INGLES,MLAEI
base_idu.hr_department_56,base.main_company,155,base_idu.hr_department_36,MATEMATICAS,MATE
base_idu.hr_department_57,base.main_company,156,base_idu.hr_department_36,SECRETARIA ACADEMICA FACULTAD DE CIENCIAS Y EDUCACION,SAFCE
base_idu.hr_department_58,base.main_company,157,base_idu.hr_department_36,UNIDAD DE EXTENSION FACULTAD DE CIENCIAS Y EDUCACION,UEFCE
base_idu.hr_department_59,base.main_company,158,base_idu.hr_department_36,DOCTORADO INTERINSTITUCIONAL EN EDUCACION,DIED
base_idu.hr_department_60,base.main_company,159,base_idu.hr_department_36,PROYECTO ACADEMICO DE INVESTIGACION Y EXTENSION DE PEDAGOGIA,PAIEP
base_idu.hr_department_61,base.main_company,160,base_idu.hr_department_36,MAESTRIA EN PEDAGOGIA DE LA LENGUA MATERNA,MPLM
base_idu.hr_department_62,base.main_company,161,base_idu.hr_department_36,MAESTRIA EN COMUNICACION-EDUCACION,MCED
base_idu.hr_department_63,base.main_company,162,base_idu.hr_department_36,MAESTRIA EN EDUCACION,MAED
base_idu.hr_department_64,base.main_company,163,base_idu.hr_department_36,COORDINACION DE AUTOEVALUACION Y ACREDITACION FACULTAD DE CIENCIAS Y EDUCACION,CAAFCE
base_idu.hr_department_65,base.main_company,164,base_idu.hr_department_36,PROYECTO ACADEMICO TRANSVERSAL DE FORMACION DE PROFESORES  PARA POBLACIONES CON NECESIDADES EDUCATIVAS ESPECIALES,PATFPPNEE
base_idu.hr_department_66,base.main_company,165,base_idu.hr_department_36,MAESTRIA EN EDUCACION EN TECNOLOGIA,METC
base_idu.hr_department_67,base.main_company,166,base_idu.hr_department_36,MAESTRIA EN INFANCIA Y CULTURA,MICU
base_idu.hr_department_68,base.main_company,167,base_idu.hr_department_36,DOCTORADO EN ESTUDIOS SOCIALES,DESO
base_idu.hr_department_69,base.main_company,168,base_idu.hr_department_2,FACULTAD DE ARTES ASAB,FAAS
base_idu.hr_department_70,base.main_company,169,base_idu.hr_department_69,ARTES ESCENICAS,ARES
base_idu.hr_department_71,base.main_company,170,base_idu.hr_department_69,ARTES MUSICALES,ARMU
base_idu.hr_department_72,base.main_company,171,base_idu.hr_department_69,ARTES PLASTICAS Y VISUALES,APVI
base_idu.hr_department_73,base.main_company,172,base_idu.hr_department_69,SECRETARIA ACADEMICA FACULTAD DE ARTES – ASAB,SAFA
base_idu.hr_department_74,base.main_company,173,base_idu.hr_department_69,ACADEMIA LUIS A. CALVO,ALAC
base_idu.hr_department_75,base.main_company,174,base_idu.hr_department_69,UNIDAD DE EXTENSION FACULTAD DE ARTES – ASAB,UEFA
base_idu.hr_department_76,base.main_company,175,base_idu.hr_department_69,MAESTRIA EN ESTUDIOS ARTISTICOS,MEAR
base_idu.hr_department_77,base.main_company,176,base_idu.hr_department_69,ARTE DANZARIO,ARDA
base_idu.hr_department_78,base.main_company,177,base_idu.hr_department_69,COORDINACION DE LABORATORIOS - FACULTAD DE ARTES ASAB,CLFA
base_idu.hr_department_79,base.main_company,178,base_idu.hr_department_2,COORDINACION GENERAL DE AUTOEVALUACION Y ACREDITACION,CGAA
base_idu.hr_department_80,base.main_company,179,base_idu.hr_department_2,CENTRO DE BIENESTAR INSTITUCIONAL,CBIN
base_idu.hr_department_81,base.main_company,180,base_idu.hr_department_2,CATEDRA UNESCO EN DESARROLLO DEL NINO,CUDN
base_idu.hr_department_82,base.main_company,181,base_idu.hr_department_2,CENTRO DE INVESTIGACIONES Y DESARROLLO CIENTIFICO,CIDC
base_idu.hr_department_83,base.main_company,182,base_idu.hr_department_2,DOCENCIA,DOCE
base_idu.hr_department_84,base.main_company,183,base_idu.hr_department_2,EGRESADOS,EGRE
base_idu.hr_department_85,base.main_company,184,base_idu.hr_department_2,EMISORA LAUD 90.4 FM ESTEREO,EMIS
base_idu.hr_department_86,base.main_company,185,base_idu.hr_department_2,FACULTAD DE MEDIO AMBIENTE,FAMA
base_idu.hr_department_87,base.main_company,186,base_idu.hr_department_86,INGENIERIA TOPOGRAFICA,INTO
base_idu.hr_department_88,base.main_company,187,base_idu.hr_department_86,ADMINISTRACION DEPORTIVA,ADDE
base_idu.hr_department_89,base.main_company,188,base_idu.hr_department_86,ESPECIALIZACION EN AMBIENTE Y DESARROLLO LOCAL,EADL
base_idu.hr_department_90,base.main_company,189,base_idu.hr_department_86,ESPECIALIZACION EN DISENO DE VIAS URBANAS TRANSITO Y TRANSPORTE,EDVUT
base_idu.hr_department_91,base.main_company,190,base_idu.hr_department_86,ESPECIALIZACION EN GERENCIA DE RECURSOS NATURALES,EGRN
base_idu.hr_department_92,base.main_company,191,base_idu.hr_department_86,INGENIERIA AMBIENTAL,INAM
base_idu.hr_department_93,base.main_company,192,base_idu.hr_department_86,INGENIERIA FORESTAL,INFO
base_idu.hr_department_94,base.main_company,193,base_idu.hr_department_86,SECRETARIA ACADEMICA FACULTAD DEL MEDIO AMBIENTE Y RECURSOS NATURALES,SAFMARN
